"Specimen"	"YEAR"	"MONTH"	"DML"	"Testisweight"	"fMONTH"
1063	1990	9	232	0.645	"9"
1056	1990	8	265	0.646	"8"
1042	1991	9	133	0.654	"9"
1003	1990	8	235	0.663	"8"
1012	1990	10	175	0.69	"10"
1065	1990	9	273	0.704	"9"
1037	1991	9	233	0.705	"9"
1017	1990	8	238	0.707	"8"
1052	1990	11	130	0.726	"11"
1025	1991	10	175	0.737	"10"
1055	1990	8	287	0.745	"8"
1029	1990	9	140	0.758	"9"
1028	1991	10	138	0.777	"10"
1024	1991	10	166	0.782	"10"
1028	1990	9	204	0.785	"9"
1013	1990	10	175	0.786	"10"
1023	1991	10	273	0.801	"10"
1022	1990	9	190	0.812	"9"
1002	1990	8	220	0.824	"8"
1021	1991	10	160	0.828	"10"
1018	1990	8	270	0.835	"8"
1039	1990	8	268	0.85	"8"
1047	1990	7	245	0.862	"7"
1017	1990	8	250	0.875	"8"
1016	1990	12	198	0.963	"12"
1015	1991	10	279	0.983	"10"
1020	1990	11	186	1.006	"11"
1009	1990	9	279	1.041	"9"
1041	1990	9	265	1.051	"9"
1019	1991	6	225	1.072	"6"
1010	1991	10	120	1.072	"10"
1015	1991	10	120	1.077	"10"
1104	1990	7	261	1.117	"7"
1007	1991	9	244	1.13	"9"
1030	1991	10	136	1.133	"10"
1012	1991	4	173	1.159	"4"
1031	1991	6	254	1.164	"6"
1021	1991	2	138	1.173	"2"
1016	1991	10	127	1.175	"10"
1024	1990	11	214	1.194	"11"
1016	1990	8	261	1.196	"8"
1003	1990	10	296	1.213	"10"
1004	1990	8	272	1.218	"8"
1010	1990	9	219	1.218	"9"
1035	1990	9	291	1.241	"9"
1035	1991	4	390	1.247	"4"
1009	1990	10	210	1.275	"10"
1014	1991	10	122	1.318	"10"
1018	1990	10	208	1.322	"10"
1013	1990	8	303	1.331	"8"
1010	1991	5	180	1.386	"5"
1069	1990	11	169	1.412	"11"
1028	1991	10	282	1.415	"10"
1006	1990	9	218	1.421	"9"
1020	1990	9	320	1.463	"9"
1053	1991	9	260	1.466	"9"
1010	1989	12	149	1.47	"12"
1030	1991	10	154	1.473	"10"
1007	1990	8	293	1.518	"8"
1066	1990	9	279	1.52	"9"
1013	1990	9	213	1.536	"9"
1001	1990	10	282	1.56	"10"
1006	1991	10	182	1.564	"10"
1022	1991	10	164	1.579	"10"
1013	1991	5	193	1.614	"5"
1016	1990	9	274	1.653	"9"
1024	1991	10	163	1.682	"10"
1057	1990	11	176	1.686	"11"
1035	1990	11	180	1.686	"11"
1002	1991	7	206	1.714	"7"
1055	1990	7	179	1.715	"7"
1027	1991	10	258	1.717	"10"
1039	1990	11	202	1.722	"11"
1027	1990	11	192	1.726	"11"
1002	1991	5	139	1.758	"5"
1004	1990	9	306	1.764	"9"
1025	1991	10	167	1.778	"10"
1013	1991	10	258	1.785	"10"
1011	1991	4	162	1.831	"4"
1017	1991	5	195	1.847	"5"
1058	1990	11	220	1.849	"11"
1019	1991	4	213	1.858	"4"
1035	1991	9	270	1.859	"9"
1005	1991	10	190	1.866	"10"
1004	1990	11	208	1.906	"11"
1013	1991	4	178	1.93	"4"
1029	1991	10	177	1.934	"10"
1025	1990	11	164	1.968	"11"
1002	1990	3	245	1.975	"3"
1058	1990	7	310	1.983	"7"
1001	1991	9	261	2.012	"9"
1030	1991	10	250	2.016	"10"
1003	1991	5	158	2.02	"5"
1029	1990	9	290	2.022	"9"
1001	1989	12	139	2.027	"12"
1002	1990	3	149	2.059	"3"
1017	1991	10	135	2.061	"10"
1045	1990	11	205	2.068	"11"
1027	1991	10	159	2.078	"10"
1012	1991	10	138	2.082	"10"
1052	1990	8	259	2.09	"8"
1023	1991	4	224	2.098	"4"
1018	1991	5	224	2.11	"5"
1012	1990	12	132	2.125	"12"
1048	1991	9	212	2.133	"9"
1024	1990	10	208	2.151	"10"
1047	1990	11	150	2.155	"11"
1009	1991	10	192	2.158	"10"
1006	1990	3	185	2.176	"3"
1004	1991	4	141	2.18	"4"
1053	1990	8	193	2.186	"8"
1004	1991	10	197	2.191	"10"
1037	1990	8	313	2.223	"8"
1026	1990	11	153	2.235	"11"
1064	1991	4	197	2.252	"4"
1026	1991	10	169	2.265	"10"
1003	1991	10	204	2.305	"10"
1005	1991	4	145	2.306	"4"
1033	1991	5	434	2.309	"5"
1010	1991	10	308	2.309	"10"
1019	1990	8	298	2.31	"8"
1006	1990	10	216	2.319	"10"
1001	1990	9	267	2.334	"9"
1012	1991	5	195	2.339	"5"
1031	1990	8	261	2.348	"8"
1054	1990	11	193	2.348	"11"
1051	1990	11	150	2.373	"11"
1016	1991	3	203	2.384	"3"
1030	1990	12	150	2.399	"12"
1007	1990	3	258	2.436	"3"
1022	1991	10	146	2.436	"10"
1018	1991	4	213	2.465	"4"
1025	1991	5	317	2.468	"5"
1033	1990	11	284	2.5	"11"
1005	1991	5	170	2.502	"5"
1004	1991	2	189	2.515	"2"
1005	1990	9	245	2.531	"9"
1015	1991	2	186	2.533	"2"
1004	1990	10	224	2.552	"10"
1024	1991	2	190	2.582	"2"
1018	1991	10	260	2.596	"10"
1008	1991	4	177	2.626	"4"
1014	1991	5	192	2.628	"5"
1028	1991	3	300	2.663	"3"
1006	1991	5	152	2.67	"5"
1002	1991	10	203	2.698	"10"
1020	1991	4	206	2.719	"4"
1057	1990	9	347	2.72	"9"
1014	1991	2	179	2.721	"2"
1004	1990	9	215	2.735	"9"
1004	1991	7	387	2.752	"7"
1026	1991	2	186	2.757	"2"
1005	1990	3	172	2.758	"3"
1018	1990	9	280	2.76	"9"
1077	1990	11	163	2.762	"11"
1015	1991	4	189	2.773	"4"
1003	1991	10	163	2.779	"10"
1012	1991	2	198	2.794	"2"
1079	1990	11	162	2.823	"11"
1030	1991	5	375	2.825	"5"
1004	1991	3	140	2.853	"3"
1004	1990	3	214	2.854	"3"
1064	1990	9	271	2.873	"9"
1010	1991	2	180	2.884	"2"
1055	1991	9	265	2.9	"9"
1008	1991	3	238	2.912	"3"
1022	1991	5	285	2.917	"5"
1020	1991	6	205	2.92	"6"
1020	1991	10	140	2.925	"10"
1008	1990	10	264	2.97	"10"
1021	1991	4	208	2.994	"4"
1006	1991	2	197	3.005	"2"
1032	1990	11	160	3.05	"11"
1008	1990	9	183	3.069	"9"
1002	1991	10	182	3.077	"10"
1007	1991	4	170	3.079	"4"
1060	1991	2	143	3.081	"2"
1021	1990	12	153	3.1	"12"
1021	1990	11	217	3.101	"11"
1005	1990	10	180	3.11	"10"
1046	1990	11	164	3.124	"11"
1001	1991	9	270	3.155	"9"
1020	1991	2	154	3.158	"2"
1014	1990	12	175	3.172	"12"
1004	1990	3	173	3.173	"3"
1049	1990	11	166	3.18	"11"
1054	1991	9	248	3.181	"9"
1001	1991	9	259	3.188	"9"
1017	1991	10	189	3.2	"10"
1013	1991	10	196	3.202	"10"
1035	1991	5	398	3.211	"5"
1075	1990	11	166	3.248	"11"
1032	1990	12	166	3.248	"12"
1060	1990	9	299	3.258	"9"
1072	1990	11	205	3.267	"11"
1027	1991	10	168	3.288	"10"
1013	1991	2	164	3.296	"2"
1064	1990	11	212	3.3	"11"
1071	1990	11	159	3.31	"11"
1006	1989	12	240	3.316	"12"
1019	1991	2	167	3.317	"2"
1011	1991	2	199	3.345	"2"
1016	1991	5	215	3.35	"5"
1018	1991	10	198	3.368	"10"
1002	1991	2	178	3.377	"2"
1043	1990	9	322	3.397	"9"
1019	1991	5	255	3.419	"5"
1018	1991	2	158	3.423	"2"
1003	1990	8	308	3.429	"8"
1028	1991	5	340	3.45	"5"
1025	1991	10	269	3.488	"10"
1035	1990	12	165	3.497	"12"
1002	1990	4	240	3.5	"4"
1021	1991	5	264	3.506	"5"
1001	1990	3	431	3.516	"3"
1004	1991	5	150	3.551	"5"
1006	1991	9	268	3.552	"9"
1027	1991	3	347	3.562	"3"
1058	1991	2	164	3.57	"2"
1012	1991	3	224	3.579	"3"
1011	1991	5	166	3.602	"5"
1003	1990	10	208	3.603	"10"
1004	1990	3	187	3.606	"3"
1067	1990	11	231	3.606	"11"
1001	1990	3	182	3.618	"3"
1034	1990	12	151	3.618	"12"
1018	1990	11	167	3.62	"11"
1024	1991	5	307	3.632	"5"
1022	1991	4	168	3.644	"4"
1017	1990	11	198	3.654	"11"
1009	1991	4	181	3.658	"4"
1019	1989	12	177	3.676	"12"
1059	1991	2	150	3.699	"2"
1023	1991	6	209	3.717	"6"
1009	1990	12	169	3.749	"12"
1034	1991	9	215	3.758	"9"
1011	1991	1	182	3.769	"1"
1006	1991	4	152	3.793	"4"
1001	1990	3	166	3.798	"3"
1001	1990	4	316	3.8	"4"
1008	1991	10	205	3.835	"10"
1002	1990	9	330	3.843	"9"
1014	1991	4	192	3.852	"4"
1005	1991	2	156	3.864	"2"
1006	1991	10	221	3.865	"10"
1028	1991	10	179	3.866	"10"
1015	1989	12	200	3.893	"12"
1009	1990	3	265	3.915	"3"
1016	1991	2	180	3.929	"2"
1002	1990	3	279	3.943	"3"
1008	1990	9	186	3.958	"9"
1025	1990	9	200	3.964	"9"
1019	1990	12	163	3.981	"12"
1056	1991	9	255	3.986	"9"
1008	1991	5	170	3.999	"5"
1038	1990	11	180	4.004	"11"
1055	1990	11	192	4.009	"11"
1021	1991	3	210	4.011	"3"
1007	1990	9	188	4.014	"9"
1001	1990	11	185	4.032	"11"
1022	1989	12	194	4.039	"12"
1008	1991	1	191	4.069	"1"
1032	1991	5	405	4.086	"5"
1014	1990	11	197	4.103	"11"
1031	1990	12	150	4.131	"12"
1073	1990	9	210	4.144	"9"
1001	1990	3	239	4.235	"3"
1021	1989	12	180	4.24	"12"
1001	1990	3	205	4.248	"3"
1046	1990	11	230	4.263	"11"
1060	1990	11	190	4.291	"11"
1025	1991	3	220	4.325	"3"
1025	1991	4	218	4.341	"4"
1066	1990	11	198	4.348	"11"
1006	1990	9	230	4.351	"9"
1002	1990	10	209	4.353	"10"
1001	1991	10	199	4.353	"10"
1005	1990	10	195	4.359	"10"
1078	1990	11	183	4.399	"11"
1002	1990	4	330	4.4	"4"
1029	1990	12	195	4.417	"12"
1028	1990	12	200	4.441	"12"
1030	1990	11	248	4.455	"11"
1061	1990	11	225	4.48	"11"
1014	1990	11	194	4.488	"11"
1011	1991	10	189	4.489	"10"
1001	1990	3	342	4.501	"3"
1010	1991	3	225	4.504	"3"
1004	1990	11	254	4.523	"11"
1024	1991	4	226	4.529	"4"
1005	1990	3	216	4.532	"3"
1017	1991	3	241	4.567	"3"
1022	1990	12	197	4.572	"12"
1006	1990	12	212	4.584	"12"
1011	1990	12	199	4.586	"12"
1017	1990	12	178	4.598	"12"
1034	1991	5	413	4.6	"5"
1080	1990	11	185	4.602	"11"
1011	1991	3	364	4.632	"3"
1016	1990	9	231	4.633	"9"
1008	1991	2	165	4.636	"2"
1009	1991	3	236	4.639	"3"
1003	1990	3	277	4.64	"3"
1065	1990	11	188	4.66	"11"
1014	1991	10	187	4.701	"10"
1024	1991	3	306	4.709	"3"
1033	1990	12	191	4.716	"12"
1003	1991	3	211	4.717	"3"
1020	1990	11	180	4.727	"11"
1141	1990	11	183	4.751	"11"
1026	1991	3	319	4.771	"3"
1001	1990	8	283	4.794	"8"
1016	1989	12	212	4.813	"12"
1009	1990	3	208	4.825	"3"
1014	1991	10	278	4.833	"10"
1005	1990	3	260	4.86	"3"
1050	1990	11	195	4.874	"11"
1003	1990	9	350	4.888	"9"
1078	1991	2	233	4.891	"2"
1026	1991	5	321	4.902	"5"
1001	1990	3	179	4.923	"3"
1023	1990	12	183	4.957	"12"
1047	1990	9	392	4.959	"9"
1005	1991	9	288	4.962	"9"
1029	1990	11	229	5.001	"11"
1011	1991	10	196	5.008	"10"
1004	1991	10	210	5.061	"10"
1007	1990	9	210	5.085	"9"
1004	1990	3	264	5.088	"3"
1001	1991	2	258	5.095	"2"
1017	1990	9	256	5.103	"9"
1027	1991	4	214	5.112	"4"
1028	1991	4	242	5.127	"4"
1005	1990	9	214	5.129	"9"
1028	1990	11	205	5.146	"11"
1002	1990	12	310	5.149	"12"
1003	1990	11	209	5.152	"11"
1020	1991	3	287	5.156	"3"
1026	1991	4	238	5.166	"4"
1008	1990	11	237	5.167	"11"
1007	1991	2	219	5.169	"2"
1024	1990	9	341	5.189	"9"
1027	1991	6	238	5.199	"6"
1003	1990	1	202	5.2	"1"
1004	1990	10	250	5.222	"10"
1001	1991	9	272	5.233	"9"
1023	1991	2	197	5.238	"2"
1020	1991	10	272	5.24	"10"
1014	1991	3	220	5.246	"3"
1029	1991	5	328	5.246	"5"
1021	1990	11	232	5.248	"11"
1031	1991	5	381	5.285	"5"
1029	1991	3	373	5.298	"3"
1025	1990	9	277	5.32	"9"
1009	1991	5	186	5.322	"5"
1005	1990	3	277	5.347	"3"
1010	1990	11	219	5.358	"11"
1055	1990	11	207	5.386	"11"
1016	1990	11	189	5.388	"11"
1026	1990	11	198	5.407	"11"
1027	1990	12	212	5.416	"12"
1026	1990	10	288	5.425	"10"
1003	1991	9	233	5.468	"9"
1024	1990	12	192	5.496	"12"
1044	1990	9	250	5.569	"9"
1029	1991	4	270	5.616	"4"
1004	1991	9	287	5.618	"9"
1050	1990	9	357	5.782	"9"
1001	1990	6	368	5.8	"6"
1002	1990	3	214	5.81	"3"
1011	1990	11	233	5.837	"11"
1002	1990	6	340	5.867	"6"
1039	1991	9	288	5.869	"9"
1025	1990	10	249	5.885	"10"
1006	1990	11	247	5.891	"11"
1023	1991	5	295	5.95	"5"
1037	1990	11	224	5.963	"11"
1032	1991	4	336	5.963	"4"
1011	1990	9	322	5.98	"9"
1029	1990	11	227	6.042	"11"
1015	1990	9	300	6.074	"9"
1030	1991	4	325	6.127	"4"
1004	1990	3	376	6.13	"3"
1003	1990	4	340	6.153	"4"
1022	1991	3	331	6.162	"3"
1002	1990	4	325	6.165	"4"
1056	1990	11	218	6.219	"11"
1006	1991	3	335	6.272	"3"
1007	1991	3	335	6.309	"3"
1004	1990	9	315	6.32	"9"
1008	1991	10	309	6.321	"10"
1033	1991	4	358	6.344	"4"
1006	1990	3	360	6.43	"3"
1045	1990	7	375	6.439	"7"
1001	1990	4	362	6.499	"4"
1003	1990	6	321	6.534	"6"
1002	1990	1	330	6.553	"1"
1048	1990	11	293	6.6	"11"
1007	1990	9	205	6.602	"9"
1001	1991	3	287	6.603	"3"
1019	1991	3	331	6.701	"3"
1027	1991	5	339	6.765	"5"
1008	1990	3	365	6.784	"3"
1036	1991	9	319	6.801	"9"
1007	1990	3	248	6.828	"3"
1003	1990	3	328	6.848	"3"
1017	1991	10	286	6.864	"10"
1005	1991	6	353	6.885	"6"
1004	1990	4	300	6.913	"4"
1020	1991	5	251	6.926	"5"
1004	1991	6	370	6.954	"6"
1023	1991	3	326	6.991	"3"
1006	1991	6	355	7.026	"6"
1011	1990	8	305	7.031	"8"
1003	1991	9	282	7.095	"9"
1001	1990	1	540	7.107	"1"
1015	1991	3	335	7.145	"3"
1014	1990	10	272	7.169	"10"
1003	1991	7	301	7.178	"7"
1001	1990	4	299	7.2	"4"
1007	1991	10	221	7.221	"10"
1006	1990	10	265	7.228	"10"
1002	1991	9	307	7.26	"9"
1012	1990	8	333	7.27	"8"
1077	1991	2	235	7.271	"2"
1016	1991	10	304	7.337	"10"
1022	1991	2	288	7.345	"2"
1007	1990	12	262	7.392	"12"
1005	1991	3	320	7.393	"3"
1002	1991	3	242	7.41	"3"
1030	1991	6	240	7.446	"6"
1003	1990	10	266	7.468	"10"
1010	1990	10	236	7.521	"10"
1030	1991	3	340	7.533	"3"
1005	1990	12	258	7.539	"12"
1058	1990	9	374	7.564	"9"
1006	1990	3	263	7.59	"3"
1049	1990	11	235	7.608	"11"
1007	1990	11	280	7.697	"11"
1005	1991	10	260	7.702	"10"
1022	1991	1	300	7.737	"1"
1003	1990	11	238	7.793	"11"
1029	1991	1	320	7.826	"1"
1037	1990	9	346	7.858	"9"
1008	1990	10	263	7.868	"10"
1001	1990	4	301	8	"4"
1002	1990	4	284	8	"4"
1031	1991	4	327	8.006	"4"
1093	1990	7	357	8.038	"7"
1025	1991	6	230	8.041	"6"
1002	1991	3	356	8.042	"3"
1025	1990	11	245	8.054	"11"
1001	1991	3	265	8.069	"3"
1001	1990	3	263	8.07	"3"
1001	1990	10	267	8.123	"10"
1002	1990	5	312	8.266	"5"
1026	1991	10	268	8.278	"10"
1037	1990	9	300	8.294	"9"
1007	1991	10	310	8.38	"10"
1009	1991	10	309	8.407	"10"
1022	1991	10	285	8.445	"10"
1006	1990	11	262	8.45	"11"
1001	1991	9	308	8.525	"9"
1035	1991	6	299	8.529	"6"
1013	1991	3	372	8.543	"3"
1038	1991	9	273	8.581	"9"
1010	1990	12	250	8.583	"12"
1004	1990	5	348	8.607	"5"
1004	1990	4	376	8.7	"4"
1004	1990	11	269	8.711	"11"
1003	1991	6	326	8.719	"6"
1003	1990	11	284	8.751	"11"
1001	1990	10	237	8.817	"10"
1005	1990	2	296	8.84	"2"
1017	1990	11	268	8.934	"11"
1006	1990	4	402	9	"4"
1013	1990	3	330	9.004	"3"
1018	1990	12	245	9.064	"12"
1005	1990	9	348	9.132	"9"
1019	1991	1	312	9.149	"1"
1031	1991	1	307	9.195	"1"
1003	1990	4	354	9.2	"4"
1018	1991	1	296	9.204	"1"
1034	1991	4	392	9.22	"4"
1003	1990	3	337	9.255	"3"
1034	1991	6	280	9.282	"6"
1003	1990	9	265	9.287	"9"
1001	1991	2	313	9.314	"2"
1011	1990	3	413	9.34	"3"
1010	1991	1	359	9.382	"1"
1005	1990	4	273	9.4	"4"
1026	1990	9	324	9.4	"9"
1003	1991	1	399	9.431	"1"
1016	1990	11	270	9.447	"11"
1003	1990	3	262	9.488	"3"
1007	1991	1	301	9.544	"1"
1010	1991	1	273	9.712	"1"
1002	1990	3	226	9.782	"3"
1009	1991	2	318	9.788	"2"
1005	1991	10	299	9.794	"10"
1002	1991	2	372	9.826	"2"
1004	1990	12	248	9.876	"12"
1051	1991	9	337	9.911	"9"
1001	1990	3	325	9.921	"3"
1010	1991	1	279	9.972	"1"
1009	1991	1	301	10.017	"1"
1005	1991	10	370	10.068	"10"
1015	1991	1	320	10.084	"1"
1006	1990	11	297	10.139	"11"
1004	1990	12	271	10.183	"12"
1027	1990	9	410	10.225	"9"
1006	1990	1	428	10.257	"1"
1017	1991	1	288	10.277	"1"
1001	1990	3	310	10.29	"3"
1046	1990	9	284	10.338	"9"
1012	1991	1	335	10.483	"1"
1016	1990	9	288	10.505	"9"
1006	1990	1	294	10.522	"1"
1016	1990	11	266	10.55	"11"
1035	1991	1	334	10.661	"1"
1025	1991	1	417	10.7	"1"
1005	1990	5	332	10.847	"5"
1023	1991	1	325	10.944	"1"
1004	1990	1	460	11.115	"1"
1002	1991	1	280	11.141	"1"
1040	1990	11	285	11.192	"11"
1018	1990	11	330	11.241	"11"
1005	1991	7	383	11.269	"7"
1054	1990	11	307	11.275	"11"
1002	1990	9	329	11.378	"9"
1058	1990	11	276	11.392	"11"
1008	1990	3	365	11.42	"3"
1003	1991	2	275	11.432	"2"
1030	1990	9	355	11.492	"9"
1008	1991	1	329	11.493	"1"
1021	1991	1	369	11.493	"1"
1002	1990	1	370	11.545	"1"
1009	1991	10	347	11.576	"10"
1002	1991	1	327	11.615	"1"
1006	1991	10	348	11.711	"10"
1024	1991	1	311	11.712	"1"
1006	1991	1	417	11.742	"1"
1032	1991	1	323	11.769	"1"
1003	1990	12	306	11.89	"12"
1003	1991	1	305	11.896	"1"
1006	1990	12	291	11.955	"12"
1007	1990	12	298	11.959	"12"
1003	1990	12	275	12.039	"12"
1002	1990	3	290	12.041	"3"
1001	1990	11	304	12.051	"11"
1034	1991	1	320	12.07	"1"
1042	1990	11	271	12.171	"11"
1001	1990	9	370	12.186	"9"
1002	1991	9	323	12.337	"9"
1002	1990	12	326	12.34	"12"
1001	1990	1	321	12.379	"1"
1002	1991	9	302	12.442	"9"
1016	1991	1	318	12.475	"1"
1005	1990	11	297	12.529	"11"
1036	1991	1	314	12.571	"1"
1050	1990	11	302	12.581	"11"
1003	1991	10	325	12.668	"10"
1024	1991	1	410	12.697	"1"
1028	1990	9	395	12.711	"9"
1001	1990	12	346	12.722	"12"
1047	1990	11	308	12.772	"11"
1023	1991	1	365	12.915	"1"
1027	1991	1	311	12.953	"1"
1020	1990	12	301	13.005	"12"
1018	1991	3	319	13.028	"3"
1045	1990	9	306	13.179	"9"
1006	1991	10	300	13.427	"10"
1020	1991	1	362	13.591	"1"
1001	1991	2	452	13.633	"2"
1002	1990	11	310	13.871	"11"
1001	1990	3	306	14.07	"3"
1008	1991	10	331	14.099	"10"
1043	1990	9	312	14.205	"9"
1046	1990	9	425	14.292	"9"
1031	1990	9	322	14.298	"9"
1001	1991	10	387	14.333	"10"
1034	1990	9	357	14.384	"9"
1002	1991	10	388	14.616	"10"
1002	1990	9	341	14.665	"9"
1002	1990	3	528	14.826	"3"
1011	1991	1	360	14.914	"1"
1007	1990	1	449	14.981	"1"
1004	1991	10	319	15.085	"10"
1001	1990	9	384	15.125	"9"
1048	1990	9	406	15.135	"9"
1001	1991	10	364	15.171	"10"
1032	1990	9	335	15.947	"9"
1034	1990	9	400	16.034	"9"
1012	1990	3	394	16.24	"3"
1029	1990	9	319	16.282	"9"
1042	1990	9	312	16.392	"9"
1003	1990	9	392	16.411	"9"
1030	1990	9	342	16.486	"9"
1003	1991	10	364	16.583	"10"
1012	1990	9	390	16.912	"9"
1039	1990	9	368	16.961	"9"
1049	1990	9	388	17.055	"9"
1011	1991	10	454	17.147	"10"
1007	1991	10	341	17.198	"10"
1002	1991	10	359	17.418	"10"
1019	1990	10	384	17.488	"10"
1001	1990	9	439	18.183	"9"
1038	1990	9	380	18.48	"9"
1010	1991	10	415	18.483	"10"
1019	1991	10	435	18.83	"10"
1016	1991	10	487	18.847	"10"
1040	1990	9	375	19.176	"9"
1004	1991	10	385	19.378	"10"
1035	1990	9	410	19.88	"9"
1017	1990	9	425	20.125	"9"
1001	1990	12	481	20.34	"12"
1001	1990	9	408	20.422	"9"
1013	1991	10	458	21.227	"10"
1017	1990	11	410	21.412	"11"
1014	1991	10	495	21.939	"10"
1022	1991	10	541	22.133	"10"
1012	1991	10	488	22.415	"10"
1019	1990	11	399	22.468	"11"
1017	1991	10	488	22.874	"10"
1021	1991	10	483	23.162	"10"
1018	1991	10	538	24.195	"10"
1015	1991	10	420	24.292	"10"
1020	1991	10	543	24.746	"10"
1002	1991	9	508	37.811	"9"
